image,mode,dice,source
H017_Week2_LFOV.nii.gz,binary,0.807886,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week2.nii\H017_Week2_LFOV_meta.json
H017_Week3_LFOV,binary,0.546866,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week3.nii\metrics.csv
H017_Week3_LFOV.nii.gz,binary,0.546866,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week3.nii\H017_Week3_LFOV_meta.json
H017_Week4_LFOV,binary,0.242753,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week4.nii\metrics.csv
H017_Week4_LFOV.nii.gz,binary,0.242753,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week4.nii\H017_Week4_LFOV_meta.json
H017_Week5_LFOV,binary,0.692960,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week5.nii\metrics.csv
H017_Week5_LFOV.nii.gz,binary,0.692960,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week5.nii\H017_Week5_LFOV_meta.json
H017_Week6_LFOV,binary,0.708725,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week6.nii\metrics.csv
H017_Week6_LFOV.nii.gz,binary,0.708725,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week6.nii\H017_Week6_LFOV_meta.json
H017_Week7_LFOV,binary,0.816635,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week7.nii\metrics.csv
H017_Week7_LFOV.nii.gz,binary,0.816635,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week7.nii\H017_Week7_LFOV_meta.json
J005_Week0_LFOV,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week0.nii\metrics.csv
J005_Week0_LFOV.nii.gz,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week0.nii\J005_Week0_LFOV_meta.json
J005_Week1_LFOV,binary,0.785409,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week1.nii\metrics.csv
J005_Week1_LFOV.nii.gz,binary,0.785409,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week1.nii\J005_Week1_LFOV_meta.json
J005_Week2_LFOV,binary,0.839304,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week2.nii\metrics.csv
J005_Week2_LFOV.nii.gz,binary,0.839304,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week2.nii\J005_Week2_LFOV_meta.json
J005_Week3_LFOV,binary,0.482637,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week3.nii\metrics.csv
